"","Short_Name","the_geom","Address","Lat","Long","Grade_Cat","AM_Bell_1415","PM_Bell_1415","AM_Bell_1516","PM_Bell_1415.1","changedBell"
"586","TEAM HS","POINT (-87.63301879085243 41.78148490334858)","6201 S Stewart Ave",41.781485,-87.633019,"HS","7:45 AM","3:13 PM","7:45 AM","3:13 PM",2
"587","TELPOCHCALLI","POINT (-87.69600587941514 41.84794743181953)","2832 W 24th Blvd",41.847947,-87.696006,"ES",NA,NA,NA,NA,0
"588","THOMAS","POINT (-87.67754184981871 41.82777491308939)","3625 S Hoyne Ave",41.827775,-87.677542,"ES",NA,NA,NA,NA,0
"589","THORP J","POINT (-87.54427997610216 41.733324237774895)","8914 S Buffalo Ave",41.733324,-87.54428,"ES",NA,NA,NA,NA,0
"590","THORP O","POINT (-87.7776312953377 41.948571311090376)","6024 W Warwick Ave",41.948571,-87.777631,"ES",NA,NA,NA,NA,0
"591","TILDEN HS","POINT (-87.64296648369356 41.807510070907846)","4747 S Union Ave",41.80751,-87.642966,"HS","8:00 AM","3:31 PM","8:00 AM","3:31 PM",2
"592","TILL","POINT (-87.60935721071795 41.7754238433123)","6543 S Champlain Ave",41.775424,-87.609357,"ES",NA,NA,NA,NA,0
"593","TILTON","POINT (-87.7305663850525 41.88410224082623)","223 N Keeler Ave",41.884102,-87.730566,"ES",NA,NA,NA,NA,0
"594","TONTI","POINT (-87.70817918402508 41.78752322907925)","5815 S Homan Ave",41.787523,-87.708179,"ES",NA,NA,NA,NA,0
"595","TURNER-DREW","POINT (-87.63016447922544 41.72560921545335)","9300 S Princeton Ave",41.725609,-87.630164,"ES",NA,NA,NA,NA,0
"596","TWAIN","POINT (-87.75892840126892 41.79904639682349)","5134 S Lotus Ave",41.799046,-87.758928,"ES",NA,NA,NA,NA,0
"597","U OF C - DONOGHUE","POINT (-87.60850078074054 41.827726080886215)","707 E 37th St",41.827726,-87.608501,"ES",NA,NA,NA,NA,0
"598","U OF C - NKO","POINT (-87.59878626823252 41.81118286617196)","1119 E 46th St",41.811183,-87.598786,"ES",NA,NA,NA,NA,0
"599","U OF C - WOODLAWN HS","POINT (-87.59811391957531 41.77812969765141)","6420 S University Ave",41.77813,-87.598114,"HS",NA,NA,NA,NA,0
"600","U OF C - WOODSON","POINT (-87.60842562201805 41.81354730382042)","4444 S Evans Ave",41.813547,-87.608426,"ES",NA,NA,NA,NA,0
"601","UNO - BRIGHTON PARK","POINT (-87.6932383845312 41.81310944476644)","4420 S Fairfield Ave",41.813109,-87.693238,"ES",NA,NA,NA,NA,0
"602","UNO - CISNEROS","POINT (-87.69399616166392 41.8228837408415)","2744 W Pershing Rd",41.822884,-87.693996,"ES",NA,NA,NA,NA,0
"603","UNO - CLEMENTE","POINT (-87.78783043766516 41.917951679251956)","2050 N Natchez Ave",41.917952,-87.78783,"ES",NA,NA,NA,NA,0
"604","UNO - DE LAS CASAS","POINT (-87.66794916939253 41.85950400763012)","1641 W 16th St",41.859504,-87.667949,"ES",NA,NA,NA,NA,0
"605","UNO - FUENTES","POINT (-87.69959365156127 41.937475775349675)","2845 W Barry Ave",41.937476,-87.699594,"ES",NA,NA,NA,NA,0
"606","UNO - GARCIA HS","POINT (-87.73046684906748 41.809170789108045)","4248 W 47th St",41.809171,-87.730467,"HS",NA,NA,NA,NA,0
"607","UNO - MARQUEZ","POINT (-87.69739409676 41.80830882340626)","2916 W 47th St",41.808309,-87.697394,"ES",NA,NA,NA,NA,0
"608","UNO - PAZ","POINT (-87.6925508987193 41.85003541244107)","2651 W 23rd St",41.850035,-87.692551,"ES",NA,NA,NA,NA,0
"609","UNO - ROGERS PARK","POINT (-87.68440568197208 42.01647588122094)","7416 N Ridge Blvd",42.016476,-87.684406,"ES",NA,NA,NA,NA,0
"610","UNO - SANTIAGO","POINT (-87.68989562535536 41.900343634538686)","2510 W Cortez St",41.900344,-87.689896,"ES",NA,NA,NA,NA,0
"611","UNO - SOCCER ELEM","POINT (-87.70879678374817 41.8010424135067)","5050 S Homan Ave",41.801042,-87.708797,"ES",NA,NA,NA,NA,0
"612","UNO - SOCCER HS","POINT (-87.71102498431937 41.80176224554366)","5025 S Saint Louis Ave",41.801762,-87.711025,"HS",NA,NA,NA,NA,0
"613","UNO - TAMAYO","POINT (-87.69386163597656 41.799930186168076)","5135 S California Ave",41.79993,-87.693862,"ES",NA,NA,NA,NA,0
"614","UNO - TORRES","POINT (-87.73045044324964 41.80819980590754)","4248 W 47th St",41.8082,-87.73045,"ES",NA,NA,NA,NA,0
"615","UNO - ZIZUMBO","POINT (-87.73049511709266 41.81013478659646)","4248 W 47th St",41.810135,-87.730495,"ES",NA,NA,NA,NA,0
"616","UPLIFT HS","POINT (-87.65247334602134 41.965547461223615)","900 W Wilson Ave",41.965547,-87.652473,"HS","8:30 AM","3:45 PM","8:30 AM","3:45 PM",2
"617","URBAN PREP - BRONZEVILLE HS","POINT (-87.61362864745674 41.831117530464496)","521 E 35th St",41.831118,-87.613629,"HS",NA,NA,NA,NA,0
"618","URBAN PREP - ENGLEWOOD HS","POINT (-87.63435669188824 41.78149781596477)","6201 S Stewart Ave",41.781498,-87.634357,"HS",NA,NA,NA,NA,0
"619","URBAN PREP - WEST HS","POINT (-87.66010654014806 41.86254001900926)","1326 W 14th Pl",41.86254,-87.660107,"HS",NA,NA,NA,NA,0
"620","VANDERPOEL","POINT (-87.66555862186499 41.720817033711015)","9510 S Prospect Ave",41.720817,-87.665559,"ES",NA,NA,NA,NA,0
"621","VAUGHN HS","POINT (-87.76466317315523 41.960363796062815)","4355 N Linder Ave",41.960364,-87.764663,"HS",NA,NA,NA,NA,0
"622","VICK","POINT (-87.68567659747706 41.6881908373849)","2554 W 113th St",41.688191,-87.685677,"ES",NA,NA,NA,NA,0
"623","VOISE HS","POINT (-87.76191637311881 41.885993286649324)","231 N Pine Ave",41.885993,-87.761916,"HS","8:00 AM","3:15 PM","9:00 AM","3:15 PM",1
"624","VOLTA","POINT (-87.72460522431093 41.97163400099482)","4950 N Avers Ave",41.971634,-87.724605,"ES",NA,NA,NA,NA,0
